date,hospital_name,department,admissions
2021-05-09,Hospital A,MED,69
2021-05-10,Hospital A,MED,73
2021-05-11,Hospital A,MED,73
2021-05-12,Hospital A,MED,89
2021-05-13,Hospital A,MED,73
2021-05-14,Hospital A,MED,75
2021-05-15,Hospital A,MED,59
2021-05-16,Hospital A,MED,78
2021-05-17,Hospital A,MED,71
2021-05-18,Hospital A,MED,83
2021-05-19,Hospital A,MED,95
2021-05-20,Hospital A,MED,71
2021-05-21,Hospital A,MED,73
2021-05-22,Hospital A,MED,73
2021-05-23,Hospital A,MED,56
2021-05-24,Hospital A,MED,77
2021-05-25,Hospital A,MED,87
2021-05-26,Hospital A,MED,94
2021-05-27,Hospital A,MED,71
2021-05-28,Hospital A,MED,61
2021-05-29,Hospital A,MED,68
2021-05-30,Hospital A,MED,68
2021-05-31,Hospital A,MED,77
2021-06-01,Hospital A,MED,87
2021-06-02,Hospital A,MED,80
2021-06-03,Hospital A,MED,82
2021-06-04,Hospital A,MED,72
2021-06-05,Hospital A,MED,59
2021-06-06,Hospital A,MED,78
2021-06-07,Hospital A,MED,78
2021-06-08,Hospital A,MED,73
2021-06-09,Hospital A,MED,91
2021-06-10,Hospital A,MED,71
2021-06-11,Hospital A,MED,75
2021-06-12,Hospital A,MED,70
2021-06-13,Hospital A,MED,60
2021-06-14,Hospital A,MED,81
2021-06-15,Hospital A,MED,86
2021-06-16,Hospital A,MED,91
2021-06-17,Hospital A,MED,93
2021-06-18,Hospital A,MED,67
2021-06-19,Hospital A,MED,58
2021-06-20,Hospital A,MED,59
2021-06-21,Hospital A,MED,67
2021-06-22,Hospital A,MED,81
2021-06-23,Hospital A,MED,86
2021-06-24,Hospital A,MED,79
2021-06-25,Hospital A,MED,73
2021-06-26,Hospital A,MED,62
2021-06-27,Hospital A,MED,73
2021-06-28,Hospital A,MED,70
2021-06-29,Hospital A,MED,102
2021-06-30,Hospital A,MED,87
2021-07-01,Hospital A,MED,70
2021-07-02,Hospital A,MED,60
2021-07-03,Hospital A,MED,64
2021-07-04,Hospital A,MED,61
2021-07-05,Hospital A,MED,76
2021-07-06,Hospital A,MED,83
2021-07-07,Hospital A,MED,81
2021-07-08,Hospital A,MED,69
2021-07-09,Hospital A,MED,56
2021-07-10,Hospital A,MED,57
2021-07-11,Hospital A,MED,67
2021-07-12,Hospital A,MED,72
2021-07-13,Hospital A,MED,69
2021-07-14,Hospital A,MED,82
2021-07-15,Hospital A,MED,77
2021-07-16,Hospital A,MED,59
2021-07-17,Hospital A,MED,60
2021-07-18,Hospital A,MED,62
2021-07-19,Hospital A,MED,61
2021-07-20,Hospital A,MED,80
2021-07-21,Hospital A,MED,84
2021-07-22,Hospital A,MED,82
2021-07-23,Hospital A,MED,71
2021-07-24,Hospital A,MED,51
2021-07-25,Hospital A,MED,55
2021-07-26,Hospital A,MED,72
2021-07-27,Hospital A,MED,80
2021-07-28,Hospital A,MED,82
2021-07-29,Hospital A,MED,101
2021-07-30,Hospital A,MED,67
2021-07-31,Hospital A,MED,65
2021-08-01,Hospital A,MED,66
2021-08-02,Hospital A,MED,72
2021-08-03,Hospital A,MED,73
2021-08-04,Hospital A,MED,83
2021-08-05,Hospital A,MED,66
2021-08-06,Hospital A,MED,61
2021-08-07,Hospital A,MED,55
2021-08-08,Hospital A,MED,60
2021-08-09,Hospital A,MED,83
2021-08-10,Hospital A,MED,61
2021-08-11,Hospital A,MED,82
2021-08-12,Hospital A,MED,60
2021-08-13,Hospital A,MED,59
2021-08-14,Hospital A,MED,63
2021-08-15,Hospital A,MED,59
2021-08-16,Hospital A,MED,59
2021-08-17,Hospital A,MED,69
2021-08-18,Hospital A,MED,81
2021-08-19,Hospital A,MED,65
2021-08-20,Hospital A,MED,63
2021-08-21,Hospital A,MED,57
2021-08-22,Hospital A,MED,54
2021-08-23,Hospital A,MED,80
2021-08-24,Hospital A,MED,78
2021-08-25,Hospital A,MED,60
2021-08-26,Hospital A,MED,71
2021-08-27,Hospital A,MED,57
2021-08-28,Hospital A,MED,61
2021-08-29,Hospital A,MED,53
2021-08-30,Hospital A,MED,65
2021-08-31,Hospital A,MED,77
2021-09-01,Hospital A,MED,81
2021-09-02,Hospital A,MED,61
2021-09-03,Hospital A,MED,59
2021-09-04,Hospital A,MED,53
2021-09-05,Hospital A,MED,54
2021-09-06,Hospital A,MED,76
2021-09-07,Hospital A,MED,76
2021-09-08,Hospital A,MED,65
2021-09-09,Hospital A,MED,75
2021-09-10,Hospital A,MED,73
2021-09-11,Hospital A,MED,61
2021-09-12,Hospital A,MED,48
2021-09-13,Hospital A,MED,61
2021-09-14,Hospital A,MED,81
2021-09-15,Hospital A,MED,69
2021-09-16,Hospital A,MED,72
2021-09-17,Hospital A,MED,65
2021-09-18,Hospital A,MED,50
2021-09-19,Hospital A,MED,56
2021-09-20,Hospital A,MED,43
2021-09-21,Hospital A,MED,65
2021-09-22,Hospital A,MED,72
2021-09-23,Hospital A,MED,60
2021-09-24,Hospital A,MED,70
2021-09-25,Hospital A,MED,47
2021-09-26,Hospital A,MED,54
2021-09-27,Hospital A,MED,65
2021-09-28,Hospital A,MED,82
2021-09-29,Hospital A,MED,63
2021-09-30,Hospital A,MED,77
2021-10-01,Hospital A,MED,60
2021-10-02,Hospital A,MED,49
2021-10-03,Hospital A,MED,59
2021-10-04,Hospital A,MED,66
2021-10-05,Hospital A,MED,68
2021-10-06,Hospital A,MED,74
2021-10-07,Hospital A,MED,66
2021-10-08,Hospital A,MED,61
2021-10-09,Hospital A,MED,59
2021-10-10,Hospital A,MED,66
2021-10-11,Hospital A,MED,56
2021-10-12,Hospital A,MED,88
2021-10-13,Hospital A,MED,59
2021-10-14,Hospital A,MED,68
2021-10-15,Hospital A,MED,64
2021-10-16,Hospital A,MED,57
2021-10-17,Hospital A,MED,53
2021-10-18,Hospital A,MED,63
2021-10-19,Hospital A,MED,69
2021-10-20,Hospital A,MED,70
2021-10-21,Hospital A,MED,75
2021-10-22,Hospital A,MED,63
2021-10-23,Hospital A,MED,51
2021-10-24,Hospital A,MED,62
2021-10-25,Hospital A,MED,67
2021-10-26,Hospital A,MED,79
2021-10-27,Hospital A,MED,79
2021-10-28,Hospital A,MED,64
2021-10-29,Hospital A,MED,57
2021-10-30,Hospital A,MED,60
2021-10-31,Hospital A,MED,61
2021-11-01,Hospital A,MED,65
2021-11-02,Hospital A,MED,74
2021-11-03,Hospital A,MED,85
2021-11-04,Hospital A,MED,66
2021-11-05,Hospital A,MED,65
2021-11-06,Hospital A,MED,55
2021-11-07,Hospital A,MED,57
2021-11-08,Hospital A,MED,73
2021-11-09,Hospital A,MED,80
2021-11-10,Hospital A,MED,82
2021-11-11,Hospital A,MED,80
2021-11-12,Hospital A,MED,62
2021-11-13,Hospital A,MED,60
2021-11-14,Hospital A,MED,57
2021-11-15,Hospital A,MED,69
2021-11-16,Hospital A,MED,73
2021-11-17,Hospital A,MED,77
2021-11-18,Hospital A,MED,75
2021-11-19,Hospital A,MED,57
2021-11-20,Hospital A,MED,69
2021-11-21,Hospital A,MED,53
2021-11-22,Hospital A,MED,59
2021-11-23,Hospital A,MED,84
2021-11-24,Hospital A,MED,83
2021-11-25,Hospital A,MED,76
2021-11-26,Hospital A,MED,67
2021-11-27,Hospital A,MED,58
2021-11-28,Hospital A,MED,54
2021-11-29,Hospital A,MED,68
2021-11-30,Hospital A,MED,71
2021-12-01,Hospital A,MED,86
2021-12-02,Hospital A,MED,71
2021-12-03,Hospital A,MED,58
2021-12-04,Hospital A,MED,56
2021-12-05,Hospital A,MED,63
2021-12-06,Hospital A,MED,65
2021-12-07,Hospital A,MED,70
2021-12-08,Hospital A,MED,81
2021-12-09,Hospital A,MED,75
2021-12-10,Hospital A,MED,61
2021-12-11,Hospital A,MED,56
2021-12-12,Hospital A,MED,62
2021-12-13,Hospital A,MED,59
2021-12-14,Hospital A,MED,67
2021-12-15,Hospital A,MED,74
2021-12-16,Hospital A,MED,73
2021-12-17,Hospital A,MED,67
2021-12-18,Hospital A,MED,68
2021-12-19,Hospital A,MED,67
2021-12-20,Hospital A,MED,69
2021-12-21,Hospital A,MED,78
2021-12-22,Hospital A,MED,73
2021-12-23,Hospital A,MED,75
2021-12-24,Hospital A,MED,64
2021-12-25,Hospital A,MED,62
2021-12-26,Hospital A,MED,57
2021-12-27,Hospital A,MED,75
2021-12-28,Hospital A,MED,92
2021-12-29,Hospital A,MED,81
2021-12-30,Hospital A,MED,79
2021-12-31,Hospital A,MED,71
2022-01-01,Hospital A,MED,59
2022-01-02,Hospital A,MED,65
2022-01-03,Hospital A,MED,72
2022-01-04,Hospital A,MED,81
2022-01-05,Hospital A,MED,76
2022-01-06,Hospital A,MED,77
2022-01-07,Hospital A,MED,71
2022-01-08,Hospital A,MED,71
2022-01-09,Hospital A,MED,70
2022-01-10,Hospital A,MED,89
2022-01-11,Hospital A,MED,75
2022-01-12,Hospital A,MED,91
2022-01-13,Hospital A,MED,79
2022-01-14,Hospital A,MED,84
2022-01-15,Hospital A,MED,57
2022-01-16,Hospital A,MED,59
2022-01-17,Hospital A,MED,69
2022-01-18,Hospital A,MED,65
2022-01-19,Hospital A,MED,80
2022-01-20,Hospital A,MED,73
2022-01-21,Hospital A,MED,70
2022-01-22,Hospital A,MED,65
2022-01-23,Hospital A,MED,78
2022-01-24,Hospital A,MED,82
2022-01-25,Hospital A,MED,78
2022-01-26,Hospital A,MED,78
2022-01-27,Hospital A,MED,84
2022-01-28,Hospital A,MED,61
2022-01-29,Hospital A,MED,76
2022-01-30,Hospital A,MED,74
2022-01-31,Hospital A,MED,72
2022-02-01,Hospital A,MED,70
2022-02-02,Hospital A,MED,98
2022-02-03,Hospital A,MED,79
2022-02-04,Hospital A,MED,79
2022-02-05,Hospital A,MED,54
2022-02-06,Hospital A,MED,63
2022-02-07,Hospital A,MED,76
2022-02-08,Hospital A,MED,85
2022-02-09,Hospital A,MED,83
2022-02-10,Hospital A,MED,86
2022-02-11,Hospital A,MED,64
2022-02-12,Hospital A,MED,64
2022-02-13,Hospital A,MED,68
2022-02-14,Hospital A,MED,80
2022-02-15,Hospital A,MED,92
2022-02-16,Hospital A,MED,78
2022-02-17,Hospital A,MED,69
2022-02-18,Hospital A,MED,81
2022-02-19,Hospital A,MED,68
2022-02-20,Hospital A,MED,63
2022-02-21,Hospital A,MED,89
2022-02-22,Hospital A,MED,87
2022-02-23,Hospital A,MED,99
2022-02-24,Hospital A,MED,83
2022-02-25,Hospital A,MED,87
2022-02-26,Hospital A,MED,78
2022-02-27,Hospital A,MED,67
2022-02-28,Hospital A,MED,85
2022-03-01,Hospital A,MED,92
2022-03-02,Hospital A,MED,101
2022-03-03,Hospital A,MED,75
2022-03-04,Hospital A,MED,78
2022-03-05,Hospital A,MED,74
2022-03-06,Hospital A,MED,57
2022-03-07,Hospital A,MED,69
2022-03-08,Hospital A,MED,69
2022-03-09,Hospital A,MED,87
2022-03-10,Hospital A,MED,89
2022-03-11,Hospital A,MED,84
2022-03-12,Hospital A,MED,67
2022-03-13,Hospital A,MED,80
2022-03-14,Hospital A,MED,67
2022-03-15,Hospital A,MED,73
2022-03-16,Hospital A,MED,89
2022-03-17,Hospital A,MED,87
2022-03-18,Hospital A,MED,73
2022-03-19,Hospital A,MED,53
2022-03-20,Hospital A,MED,69
2022-03-21,Hospital A,MED,68
2022-03-22,Hospital A,MED,94
2022-03-23,Hospital A,MED,94
2022-03-24,Hospital A,MED,76
2022-03-25,Hospital A,MED,70
2022-03-26,Hospital A,MED,60
2022-03-27,Hospital A,MED,69
2022-03-28,Hospital A,MED,86
2022-03-29,Hospital A,MED,79
2022-03-30,Hospital A,MED,95
2022-03-31,Hospital A,MED,79
2022-04-01,Hospital A,MED,68
2022-04-02,Hospital A,MED,66
2022-04-03,Hospital A,MED,62
2022-04-04,Hospital A,MED,74
2022-04-05,Hospital A,MED,77
2022-04-06,Hospital A,MED,108
2022-04-07,Hospital A,MED,84
2022-04-08,Hospital A,MED,68
2022-04-09,Hospital A,MED,69
2022-04-10,Hospital A,MED,69
2022-04-11,Hospital A,MED,77
2022-04-12,Hospital A,MED,93
2022-04-13,Hospital A,MED,97
2022-04-14,Hospital A,MED,79
2022-04-15,Hospital A,MED,69
2022-04-16,Hospital A,MED,65
2022-04-17,Hospital A,MED,53
2022-04-18,Hospital A,MED,66
2022-04-19,Hospital A,MED,100
2022-04-20,Hospital A,MED,105
2022-04-21,Hospital A,MED,81
2022-04-22,Hospital A,MED,77
2022-04-23,Hospital A,MED,69
2022-04-24,Hospital A,MED,90
2022-04-25,Hospital A,MED,87
2022-04-26,Hospital A,MED,86
2022-04-27,Hospital A,MED,81
2022-04-28,Hospital A,MED,70
2022-04-29,Hospital A,MED,74
2022-04-30,Hospital A,MED,61
2022-05-01,Hospital A,MED,59
2022-05-02,Hospital A,MED,73
2022-05-03,Hospital A,MED,77
2022-05-04,Hospital A,MED,104
2022-05-05,Hospital A,MED,90
2022-05-06,Hospital A,MED,72
2022-05-07,Hospital A,MED,76
2022-05-08,Hospital A,MED,69
2022-05-09,Hospital A,MED,71
2022-05-10,Hospital A,MED,99
2022-05-11,Hospital A,MED,93
2022-05-12,Hospital A,MED,73
2022-05-13,Hospital A,MED,71
2022-05-14,Hospital A,MED,60
2022-05-15,Hospital A,MED,58
2022-05-16,Hospital A,MED,84
2022-05-17,Hospital A,MED,102
2022-05-18,Hospital A,MED,75
2022-05-19,Hospital A,MED,86
2022-05-20,Hospital A,MED,67
2022-05-21,Hospital A,MED,62
2022-05-22,Hospital A,MED,63
2022-05-23,Hospital A,MED,69
2022-05-24,Hospital A,MED,85
2022-05-25,Hospital A,MED,80
2022-05-26,Hospital A,MED,83
2022-05-27,Hospital A,MED,70
2022-05-28,Hospital A,MED,63
2022-05-29,Hospital A,MED,60
2022-05-30,Hospital A,MED,71
2022-05-31,Hospital A,MED,90
2022-06-01,Hospital A,MED,91
2022-06-02,Hospital A,MED,72
2022-06-03,Hospital A,MED,71
2022-06-04,Hospital A,MED,69
2022-06-05,Hospital A,MED,55
2022-06-06,Hospital A,MED,79
2022-06-07,Hospital A,MED,78
2022-06-08,Hospital A,MED,90
2022-06-09,Hospital A,MED,73
2022-06-10,Hospital A,MED,57
2022-06-11,Hospital A,MED,53
2022-06-12,Hospital A,MED,65
2022-06-13,Hospital A,MED,76
2022-06-14,Hospital A,MED,75
2022-06-15,Hospital A,MED,90
2022-06-16,Hospital A,MED,65
2022-06-17,Hospital A,MED,68
2022-06-18,Hospital A,MED,55
2022-06-19,Hospital A,MED,60
2022-06-20,Hospital A,MED,73
2022-06-21,Hospital A,MED,74
2022-06-22,Hospital A,MED,80
2022-06-23,Hospital A,MED,85
2022-06-24,Hospital A,MED,64
2022-06-25,Hospital A,MED,67
2022-06-26,Hospital A,MED,56
2022-06-27,Hospital A,MED,76
2022-06-28,Hospital A,MED,92
2022-06-29,Hospital A,MED,62
2022-06-30,Hospital A,MED,70
2022-07-01,Hospital A,MED,71
2022-07-02,Hospital A,MED,60
2022-07-03,Hospital A,MED,65
2022-07-04,Hospital A,MED,67
2022-07-05,Hospital A,MED,80
2022-07-06,Hospital A,MED,80
2022-07-07,Hospital A,MED,84
2022-07-08,Hospital A,MED,68
2022-07-09,Hospital A,MED,62
2022-07-10,Hospital A,MED,60
2022-07-11,Hospital A,MED,67
2022-07-12,Hospital A,MED,75
2022-07-13,Hospital A,MED,84
2022-07-14,Hospital A,MED,71
2022-07-15,Hospital A,MED,67
2022-07-16,Hospital A,MED,72
2022-07-17,Hospital A,MED,67
2022-07-18,Hospital A,MED,67
2022-07-19,Hospital A,MED,87
2022-07-20,Hospital A,MED,76
2022-07-21,Hospital A,MED,59
2022-07-22,Hospital A,MED,58
2022-07-23,Hospital A,MED,48
2022-07-24,Hospital A,MED,59
2022-07-25,Hospital A,MED,69
2022-07-26,Hospital A,MED,90
2022-07-27,Hospital A,MED,81
2022-07-28,Hospital A,MED,71
2022-07-29,Hospital A,MED,69
2022-07-30,Hospital A,MED,45
2022-07-31,Hospital A,MED,61
2022-08-01,Hospital A,MED,73
2022-08-02,Hospital A,MED,65
2022-08-03,Hospital A,MED,87
2022-08-04,Hospital A,MED,74
2022-08-05,Hospital A,MED,60
2022-08-06,Hospital A,MED,61
2022-08-07,Hospital A,MED,73
2022-08-08,Hospital A,MED,68
2022-08-09,Hospital A,MED,77
2022-08-10,Hospital A,MED,73
2022-08-11,Hospital A,MED,65
2022-08-12,Hospital A,MED,68
2022-08-13,Hospital A,MED,52
2022-08-14,Hospital A,MED,59
2022-08-15,Hospital A,MED,63
2022-08-16,Hospital A,MED,78
2022-08-17,Hospital A,MED,79
2022-08-18,Hospital A,MED,78
2022-08-19,Hospital A,MED,59
2022-08-20,Hospital A,MED,55
2022-08-21,Hospital A,MED,52
2022-08-22,Hospital A,MED,63
2022-08-23,Hospital A,MED,76
2022-08-24,Hospital A,MED,81
2022-08-25,Hospital A,MED,63
2022-08-26,Hospital A,MED,67
2022-08-27,Hospital A,MED,64
2022-08-28,Hospital A,MED,60
2022-08-29,Hospital A,MED,78
2022-08-30,Hospital A,MED,67
2022-08-31,Hospital A,MED,66
2022-09-01,Hospital A,MED,57
2022-09-02,Hospital A,MED,70
2022-09-03,Hospital A,MED,59
2022-09-04,Hospital A,MED,57
2022-09-05,Hospital A,MED,67
2022-09-06,Hospital A,MED,64
2022-09-07,Hospital A,MED,93
2022-09-08,Hospital A,MED,70
2022-09-09,Hospital A,MED,61
2022-09-10,Hospital A,MED,59
2022-09-11,Hospital A,MED,60
2022-09-12,Hospital A,MED,66
2022-09-13,Hospital A,MED,67
2022-09-14,Hospital A,MED,78
2022-09-15,Hospital A,MED,82
2022-09-16,Hospital A,MED,68
2022-09-17,Hospital A,MED,64
2022-09-18,Hospital A,MED,54
2022-09-19,Hospital A,MED,58
2022-09-20,Hospital A,MED,71
2022-09-21,Hospital A,MED,74
2022-09-22,Hospital A,MED,76
2022-09-23,Hospital A,MED,50
2022-09-24,Hospital A,MED,63
2022-09-25,Hospital A,MED,56
2022-09-26,Hospital A,MED,62
2022-09-27,Hospital A,MED,65
2022-09-28,Hospital A,MED,61
2022-09-29,Hospital A,MED,74
2022-09-30,Hospital A,MED,61
2022-10-01,Hospital A,MED,48
2022-10-02,Hospital A,MED,49
2022-10-03,Hospital A,MED,62
2022-10-04,Hospital A,MED,84
2022-10-05,Hospital A,MED,72
2022-10-06,Hospital A,MED,58
2022-10-07,Hospital A,MED,59
2022-10-08,Hospital A,MED,53
2022-10-09,Hospital A,MED,41
2022-10-10,Hospital A,MED,64
2022-10-11,Hospital A,MED,70
2022-10-12,Hospital A,MED,79
2022-10-13,Hospital A,MED,81
2022-10-14,Hospital A,MED,67
2022-10-15,Hospital A,MED,54
2022-10-16,Hospital A,MED,51
2022-10-17,Hospital A,MED,81
2022-10-18,Hospital A,MED,73
2022-10-19,Hospital A,MED,74
2022-10-20,Hospital A,MED,69
2022-10-21,Hospital A,MED,62
2022-10-22,Hospital A,MED,54
2022-10-23,Hospital A,MED,54
2022-10-24,Hospital A,MED,61
2022-10-25,Hospital A,MED,72
2022-10-26,Hospital A,MED,70
2022-10-27,Hospital A,MED,64
2022-10-28,Hospital A,MED,61
2022-10-29,Hospital A,MED,54
2022-10-30,Hospital A,MED,66
2022-10-31,Hospital A,MED,48
2022-11-01,Hospital A,MED,81
2022-11-02,Hospital A,MED,84
2022-11-03,Hospital A,MED,55
2022-11-04,Hospital A,MED,59
2022-11-05,Hospital A,MED,54
2022-11-06,Hospital A,MED,50
2022-11-07,Hospital A,MED,61
2022-11-08,Hospital A,MED,65
2022-11-09,Hospital A,MED,89
2022-11-10,Hospital A,MED,77
2022-11-11,Hospital A,MED,70
2022-11-12,Hospital A,MED,60
2022-11-13,Hospital A,MED,52
2022-11-14,Hospital A,MED,63
2022-11-15,Hospital A,MED,78
2022-11-16,Hospital A,MED,67
2022-11-17,Hospital A,MED,76
2022-11-18,Hospital A,MED,61
2022-11-19,Hospital A,MED,55
2022-11-20,Hospital A,MED,63
2022-11-21,Hospital A,MED,70
2022-11-22,Hospital A,MED,72
2022-11-23,Hospital A,MED,86
2022-11-24,Hospital A,MED,64
2022-11-25,Hospital A,MED,67
2022-11-26,Hospital A,MED,61
2022-11-27,Hospital A,MED,58
2022-11-28,Hospital A,MED,70
2022-11-29,Hospital A,MED,66
2022-11-30,Hospital A,MED,85
2022-12-01,Hospital A,MED,71
2022-12-02,Hospital A,MED,60
2022-12-03,Hospital A,MED,64
2022-12-04,Hospital A,MED,56
2022-12-05,Hospital A,MED,59
2022-12-06,Hospital A,MED,65
2022-12-07,Hospital A,MED,84
2022-12-08,Hospital A,MED,64
2022-12-09,Hospital A,MED,76
2022-12-10,Hospital A,MED,46
2022-12-11,Hospital A,MED,71
2022-12-12,Hospital A,MED,71
2022-12-13,Hospital A,MED,77
2022-12-14,Hospital A,MED,75
2022-12-15,Hospital A,MED,77
2022-12-16,Hospital A,MED,65
2022-12-17,Hospital A,MED,66
2022-12-18,Hospital A,MED,62
2022-12-19,Hospital A,MED,71
2022-12-20,Hospital A,MED,76
2022-12-21,Hospital A,MED,80
2022-12-22,Hospital A,MED,77
2022-12-23,Hospital A,MED,55
2022-12-24,Hospital A,MED,52
2022-12-25,Hospital A,MED,67
2022-12-26,Hospital A,MED,72
2022-12-27,Hospital A,MED,78
2022-12-28,Hospital A,MED,82
2022-12-29,Hospital A,MED,79
2022-12-30,Hospital A,MED,63
2022-12-31,Hospital A,MED,56
2023-01-01,Hospital A,MED,64
2023-01-02,Hospital A,MED,65
2023-01-03,Hospital A,MED,84
2023-01-04,Hospital A,MED,68
2023-01-05,Hospital A,MED,85
2023-01-06,Hospital A,MED,71
2023-01-07,Hospital A,MED,63
2023-01-08,Hospital A,MED,70
2023-01-09,Hospital A,MED,85
2023-01-10,Hospital A,MED,90
2023-01-11,Hospital A,MED,68
2023-01-12,Hospital A,MED,68
2023-01-13,Hospital A,MED,64
2023-01-14,Hospital A,MED,63
2023-01-15,Hospital A,MED,68
2023-01-16,Hospital A,MED,68
2023-01-17,Hospital A,MED,84
2023-01-18,Hospital A,MED,78
2023-01-19,Hospital A,MED,74
2023-01-20,Hospital A,MED,59
2023-01-21,Hospital A,MED,57
2023-01-22,Hospital A,MED,56
2023-01-23,Hospital A,MED,67
2023-01-24,Hospital A,MED,92
2023-01-25,Hospital A,MED,77
2023-01-26,Hospital A,MED,101
2023-01-27,Hospital A,MED,73
2023-01-28,Hospital A,MED,65
2023-01-29,Hospital A,MED,60
2023-01-30,Hospital A,MED,80
2023-01-31,Hospital A,MED,79
2023-02-01,Hospital A,MED,87
2023-02-02,Hospital A,MED,101
2023-02-03,Hospital A,MED,70
2023-02-04,Hospital A,MED,72
2023-02-05,Hospital A,MED,62
2023-02-06,Hospital A,MED,76
2023-02-07,Hospital A,MED,100
2023-02-08,Hospital A,MED,82
2023-02-09,Hospital A,MED,96
2023-02-10,Hospital A,MED,76
2023-02-11,Hospital A,MED,61
2023-02-12,Hospital A,MED,72
2023-02-13,Hospital A,MED,84
2023-02-14,Hospital A,MED,91
2023-02-15,Hospital A,MED,74
